Name,SKU,Quantity,Price
Bose QuietComfort 45,BO-BQC45,120,100000
Philips Hue Smart Bulb,PH-HS-LED-01,200,3500
Logitech MX Master 3,LO-MX3,150,11000
MacBook Pro M2 13-inch,AP-MBP-M2,90,6000
Sony WH-1000XM4,SN-WH1000XM4,130,45000
Samsung Galaxy S23 Ultra,SG-GS23U,90,275000
GoPro HERO10 Black,GO-HERO10,100,55000
Kindle Paperwhite,AMZ-KPW-2021,180,15000
Nespresso VertuoPlus,NS-VP-1200,120,25000
Dell XPS 13,DE-XPS-13,70,180000
Canon EOS 90D,CA-EOS90D,60,120000
Nest Learning Thermostat,NT-NLT-3rdG,100,22000
Apple Watch Series 7,AP-AWS7,150,45000
Samsung Galaxy Buds 2,SG-GB2,200,15000
Fitbit Charge 5,FT-FC5,180,15000
JBL Flip 5 Bluetooth Speaker,JBL-FLIP5,130,12000
Instant Pot Duo Nova,IP-DN-7IN1,90,10000
Razer Kraken V3,RA-KR3,70,10000
Oculus Quest 2,OC-Q2,60,55000
Anker PowerCore 10000,AN-PC10000,200,5000
LG 32-inch 4K Monitor,LG-32-4K,50,40000
GoPro HERO9 Black,GO-HERO9,50,6000
Bose SoundLink Revolve,BO-SLREV,80,25000
Philips Sonicare HX6817,PH-HX6817,120,16000
Wacom Intuos Pro,WA-IP-PT1,70,45000
Google Pixel 6,GO-PX6,100,135000
Nikon D7500 DSLR,NI-D7500,50,100000
Samsung QLED 55-inch TV,SG-QLED55,60,500000
Sony A7 III Camera,SN-A7III,40,220000
Shure SM7B Microphone,SH-SM7B,150,5000
Sony Xperia 1 III,SN-XP1III,50,160000
Roku Ultra Streaming Player,RO-Ultra,180,50000
Apple iPad Pro 11-inch,AP-IPADPRO11,20,100000
TP-Link Deco Mesh Wi-Fi,TP-DECOWIFI,50,22000
HP Envy 15,HP-ENVY15,60,10000
Samsung Galaxy A53,SG-GA53,90,40000
Apple iPad Air,AP-IPAD-AIR,110,60000
Xiaomi Mi Band 6,MI-MB6,60,2000
Anker Soundcore 2,AN-SC2,150,7500
Ecovacs Deebot N8+,EC-N8+,60,5000
Breville Barista Express,BRV-BE-EXP,70,45000
L'Oréal Paris Revitalift,LO-RL-03,100,2200
Bissell PowerForce Helix,BS-PF-HE-2000,100,15000
Jabra Elite 75t,JA-EL75T,180,18000
Samsung Galaxy Watch 4,SG-GW4,110,35000
Apple Magic Mouse 2,AP-MM2,150,8000
Oculus Rift S,OC-RIFT-S,100,70000
Beats Flex Wireless Earbuds,BE-FLEX,200,8000
Eufy RoboVac 11S,EU-RV11S,100,18000
Logitech G Pro X Lightspeed,LO-GPX-LTS,120,10000
Razer DeathAdder V2,RA-DAV2,150,12000
Blades Pack of 2,BA-283-DJHD,80,100
Butterfly Table Tennis Balls,BTY-832782,120,100
